run, time, tps, resp_time
res0, 920, 308.99, 118.18
res0, 930, 315.32, 116.22
res0, 940, 300.29, 124.02
res0, 950, 310.59, 116.50
res0, 960, 311.49, 117.76
res0, 970, 304.69, 118.22
res0, 980, 311.89, 115.08
res0, 990, 306.12, 121.56
res0, 1000, 299.69, 129.41
res0, 1010, 314.32, 116.19
res0, 1020, 305.89, 120.07
res0, 1030, 314.19, 114.60
res0, 1040, 311.69, 117.06
res0, 1050, 307.59, 114.63
res0, 1060, 299.69, 175.93
res0, 1070, 304.89, 118.68
res0, 1080, 304.12, 119.43
res0, 1090, 311.49, 117.97
res0, 1100, 307.12, 116.01
res0, 1110, 310.29, 119.57
res0, 1120, 308.79, 114.05
res0, 1130, 309.29, 120.58
res0, 1140, 317.59, 114.32
res0, 1150, 315.59, 113.44
res0, 1160, 311.92, 112.76
res0, 1170, 315.89, 118.57
res0, 1180, 305.69, 123.02
res0, 1190, 311.19, 116.74
res0, 1200, 312.09, 115.25
res0, 1210, 306.49, 117.41
res0, 1220, 308.92, 113.44
res0, 1230, 303.79, 122.98
res0, 1240, 307.12, 121.56
res0, 1250, 310.99, 117.66
res0, 1260, 306.79, 113.64
res0, 1270, 316.09, 115.04
res0, 1280, 306.09, 117.02
res0, 1290, 313.69, 117.58
res0, 1300, 311.39, 120.29
res0, 1310, 306.69, 119.75
res0, 1320, 314.12, 112.76
res0, 1330, 307.52, 119.72
res0, 1340, 312.19, 119.50
res0, 1350, 309.59, 116.25
res0, 1360, 303.79, 123.02
res0, 1370, 297.49, 177.25
res0, 1380, 309.69, 117.97
res0, 1390, 311.09, 116.78
res0, 1400, 309.42, 119.61
res0, 1410, 306.19, 115.46
res0, 1420, 314.09, 118.11
res0, 1430, 305.89, 119.43
res0, 1440, 309.29, 113.03
res0, 1450, 311.42, 112.32
res0, 1460, 304.39, 119.04
res0, 1470, 316.09, 112.73
res0, 1480, 306.62, 118.22
res0, 1490, 314.29, 115.80
res0, 1500, 308.49, 120.94
res0, 1510, 311.79, 119.07
res0, 1520, 311.19, 116.22
res0, 1530, 307.59, 119.32
res0, 1540, 317.39, 109.47
res0, 1550, 305.29, 118.43
res0, 1560, 308.96, 116.36
res0, 1570, 309.09, 120.51
res0, 1580, 302.89, 122.58
res0, 1590, 309.59, 117.97
res0, 1600, 300.79, 121.45
res0, 1610, 311.59, 118.65
res0, 1620, 309.59, 120.47
res0, 1630, 305.49, 119.11
res0, 1640, 310.82, 117.16
res0, 1650, 307.29, 116.01
res0, 1660, 309.89, 116.50
res0, 1670, 292.99, 192.23
res0, 1680, 308.52, 117.80
res0, 1690, 313.19, 117.06
res0, 1700, 300.49, 121.05
res0, 1710, 311.32, 116.08
res0, 1720, 307.89, 116.08
res0, 1730, 311.99, 113.74
res0, 1740, 311.09, 121.81
res0, 1750, 305.79, 121.63
res0, 1760, 309.99, 116.15
res0, 1770, 301.39, 118.01
res0, 1780, 308.59, 112.83
res0, 1790, 304.35, 119.86
res0, 1800, 312.69, 120.25
res0, 1810, 314.89, 113.95
res0, 1820, 303.49, 121.63
res0, 1830, 312.19, 114.19
res0, 1840, 306.99, 112.25
res0, 1850, 312.89, 113.20
res0, 1860, 304.79, 116.53
res0, 1870, 314.72, 116.85
res0, 1880, 315.39, 109.04
res0, 1890, 308.89, 116.32
res0, 1900, 307.72, 116.32
res0, 1910, 305.39, 116.78
res0, 1920, 315.39, 119.07
res0, 1930, 305.89, 121.56
res0, 1940, 306.29, 123.83
res0, 1950, 309.82, 114.84
res0, 1960, 300.79, 122.32
res0, 1970, 294.99, 178.90
res0, 1980, 302.99, 127.37
res0, 1990, 316.79, 113.95
res0, 2000, 311.69, 114.84
res0, 2010, 307.19, 121.56
res0, 2020, 311.62, 121.59
res0, 2030, 308.12, 120.33
res0, 2040, 315.39, 116.32
res0, 2050, 301.29, 128.52
res0, 2060, 306.89, 120.54
res0, 2070, 308.19, 116.92
res0, 2080, 305.69, 116.95
res0, 2090, 314.69, 114.87
res0, 2100, 305.09, 120.94
res0, 2110, 311.02, 115.28
res0, 2120, 305.89, 118.61
res0, 2130, 313.02, 110.45
res0, 2140, 307.29, 117.97
res0, 2150, 310.69, 119.75
res0, 2160, 311.99, 115.49
res0, 2170, 306.59, 118.89
res0, 2180, 311.19, 118.86
res0, 2190, 298.92, 125.55
res0, 2200, 310.19, 120.18
res0, 2210, 312.09, 116.15
res0, 2220, 313.79, 116.01
res0, 2230, 311.39, 113.64
res0, 2240, 305.19, 119.82
res0, 2250, 312.12, 113.20
res0, 2260, 308.99, 117.23
res0, 2270, 296.32, 177.46
res0, 2280, 303.49, 123.28
res0, 2290, 309.19, 116.64
res0, 2300, 318.19, 112.25
res0, 2310, 306.09, 116.29
res0, 2320, 306.69, 118.26
res0, 2330, 305.69, 120.18
res0, 2340, 312.09, 113.47
res0, 2350, 307.02, 117.94
res0, 2360, 313.32, 115.77
res0, 2370, 305.09, 113.37
res0, 2380, 306.49, 117.16
res0, 2390, 307.69, 115.08
res0, 2400, 306.39, 115.66
res0, 2410, 314.89, 119.21
res0, 2420, 306.82, 122.51
res0, 2430, 310.79, 115.49
res0, 2440, 303.69, 116.85
res0, 2450, 312.99, 116.46
res0, 2460, 311.29, 114.84
res0, 2470, 309.99, 113.16
res0, 2480, 312.92, 115.04
res0, 2490, 305.59, 119.00
res0, 2500, 314.62, 112.49
res0, 2510, 303.89, 118.01
res0, 2520, 318.39, 119.25
res0, 2530, 305.79, 119.18
res0, 2540, 317.59, 118.43
res0, 2550, 307.99, 118.36
res0, 2560, 307.89, 114.63
res0, 2570, 301.19, 172.38
res0, 2580, 309.42, 120.40
res0, 2590, 316.72, 108.91
res0, 2600, 310.59, 118.82
res0, 2610, 313.19, 115.18
res0, 2620, 304.89, 116.95
res0, 2630, 310.39, 116.12
res0, 2640, 310.79, 112.29
res0, 2650, 306.19, 121.23
res0, 2660, 311.92, 123.21
res0, 2670, 310.09, 113.40
res0, 2680, 313.59, 114.97
res0, 2690, 305.79, 120.69
res0, 2700, 316.79, 113.16
res0, 2710, 308.62, 119.64
res0, 2720, 315.39, 115.66
res0, 2730, 311.89, 116.57
res0, 2740, 309.02, 113.30
res0, 2750, 314.49, 117.87
res0, 2760, 305.49, 117.34
res0, 2770, 316.09, 114.53
res0, 2780, 307.89, 115.70
res0, 2790, 314.39, 116.05
res0, 2800, 305.89, 117.62
res0, 2810, 310.09, 121.05
res0, 2820, 308.95, 116.64
res0, 2830, 311.39, 114.70
res0, 2840, 314.49, 115.46
res0, 2850, 307.79, 118.01
res0, 2860, 311.39, 119.32
res0, 2870, 303.49, 115.87
res0, 2880, 302.99, 178.85
res0, 2890, 305.49, 118.54
res0, 2900, 315.12, 113.40
res0, 2910, 307.69, 116.53
res0, 2920, 315.19, 115.73
res0, 2930, 307.29, 116.64
res0, 2940, 313.72, 113.84
res0, 2950, 305.99, 122.62
res0, 2960, 312.39, 117.02
res0, 2970, 312.72, 115.66
res0, 2980, 308.09, 119.97
res0, 2990, 304.89, 122.03
res0, 3000, 304.19, 119.82
res0, 3010, 316.19, 116.19
res0, 3020, 305.09, 117.41
res0, 3030, 314.79, 114.97
res0, 3040, 310.29, 119.79
res0, 3050, 306.55, 122.40
res0, 3060, 312.89, 113.71
res0, 3070, 304.49, 120.29
res0, 3080, 313.69, 117.66
res0, 3090, 296.59, 123.10
res0, 3100, 312.29, 116.08
res0, 3110, 303.19, 120.90
res0, 3120, 309.49, 112.46
res0, 3130, 310.82, 119.11
res0, 3140, 308.49, 117.23
res0, 3150, 309.99, 112.29
res0, 3160, 311.92, 116.95
res0, 3170, 312.99, 117.37
res0, 3180, 298.79, 166.50
res0, 3190, 305.49, 118.01
res0, 3200, 302.69, 116.74
res0, 3210, 313.02, 115.28
res0, 3220, 303.79, 122.10
res0, 3230, 314.59, 112.69
res0, 3240, 306.39, 116.43
res0, 3250, 316.79, 114.94
res0, 3260, 310.49, 115.32
res0, 3270, 309.79, 121.12
res0, 3280, 307.12, 118.08
res0, 3290, 311.52, 116.92
res0, 3300, 315.99, 114.08
res0, 3310, 306.99, 118.89
res0, 3320, 314.79, 117.69
res0, 3330, 305.99, 116.78
res0, 3340, 315.89, 113.64
res0, 3350, 308.69, 117.58
res0, 3360, 310.89, 118.43
res0, 3370, 304.42, 120.61
res0, 3380, 313.79, 116.08
res0, 3390, 311.92, 114.32
res0, 3400, 306.69, 117.09
res0, 3410, 314.69, 118.65
res0, 3420, 304.19, 120.94
res0, 3430, 310.99, 116.46
res0, 3440, 304.69, 124.32
res0, 3450, 310.42, 114.56
res0, 3460, 307.49, 118.22
res0, 3470, 313.99, 113.27
res0, 3480, 294.79, 186.89
res0, 3490, 314.59, 119.75
res0, 3500, 309.49, 116.88
res0, 3510, 308.22, 114.25
res0, 3520, 309.09, 115.25
res0, 3530, 311.52, 116.60
res0, 3540, 309.39, 118.50
res0, 3550, 311.69, 115.98
res0, 3560, 314.19, 116.01
res0, 3570, 307.29, 118.47
res0, 3580, 310.99, 114.80
res0, 3590, 305.29, 118.72
res0, 3600, 313.49, 112.12
res0, 3610, 301.62, 119.64
res0, 3620, 313.12, 118.47
res0, 3630, 306.70, 118.15
res0, 3640, 312.89, 114.84
res0, 3650, 309.29, 119.43
res0, 3660, 310.39, 117.06
res0, 3670, 309.39, 120.83
res0, 3680, 311.02, 115.32
res0, 3690, 311.59, 116.05
res0, 3700, 310.99, 117.20
res0, 3710, 313.79, 119.36
res0, 3720, 305.09, 113.57
res0, 3730, 311.69, 120.72
res0, 3740, 306.22, 117.55
res0, 3750, 314.79, 113.84
res0, 3760, 310.42, 115.87
res0, 3770, 316.29, 117.09
res0, 3780, 294.09, 179.71
res0, 3790, 314.19, 114.84
res0, 3800, 308.69, 114.22
res0, 3810, 304.79, 122.84
res0, 3820, 314.09, 114.42
res0, 3830, 307.19, 123.21
res0, 3840, 311.32, 115.53
res0, 3850, 306.32, 120.33
res0, 3860, 312.19, 113.57
res0, 3870, 304.19, 119.36
res0, 3880, 308.89, 114.56
res0, 3890, 301.99, 123.02
res0, 3900, 310.49, 116.12
res0, 3910, 311.59, 115.84
res0, 3920, 309.22, 114.77
res0, 3930, 311.19, 118.47
res0, 3940, 313.49, 117.16
res0, 3950, 309.49, 112.56
res0, 3960, 310.19, 116.15
res0, 3970, 318.92, 113.57
res0, 3980, 304.49, 117.48
res0, 3990, 311.89, 116.25
res0, 4000, 306.92, 121.41
res0, 4010, 313.09, 119.89
res0, 4020, 304.89, 121.81
res0, 4030, 312.59, 115.42
res0, 4040, 302.99, 118.68
res0, 4050, 309.99, 113.95
res0, 4060, 306.29, 117.30
res0, 4070, 305.79, 115.01
res0, 4080, 300.35, 171.92
res0, 4090, 309.19, 118.97
res0, 4100, 312.89, 116.71
res0, 4110, 307.39, 120.80
res0, 4120, 314.59, 118.54
res0, 4130, 302.19, 124.06
res0, 4140, 314.29, 113.91
res0, 4150, 307.59, 116.25
res0, 4160, 306.82, 115.80
res0, 4170, 307.19, 118.68
res0, 4180, 313.89, 115.15
res0, 4190, 310.19, 117.41
res0, 4200, 312.52, 116.15
res0, 4210, 305.69, 119.64
res0, 4220, 315.09, 118.18
res0, 4230, 311.09, 113.00
res0, 4240, 307.72, 115.98
res0, 4250, 308.99, 115.04
res0, 4260, 310.49, 114.80
res0, 4270, 309.89, 118.47
res0, 4280, 308.69, 116.57
res0, 4290, 311.69, 115.32
res0, 4300, 307.89, 118.93
res0, 4310, 314.06, 114.87
res0, 4320, 306.99, 119.57
res0, 4330, 308.89, 118.93
res0, 4340, 305.09, 121.78
res0, 4350, 310.49, 115.77
res0, 4360, 303.39, 117.58
res0, 4370, 307.49, 120.94
res0, 4380, 311.49, 113.98
res0, 4390, 291.12, 193.50
res0, 4400, 311.39, 116.57
res0, 4410, 305.89, 119.57
res0, 4420, 315.72, 113.88
res0, 4430, 301.59, 121.85
res0, 4440, 313.99, 117.73
res0, 4450, 302.79, 118.40
res0, 4460, 309.39, 118.04
res0, 4470, 309.52, 112.76
res0, 4480, 312.69, 117.51
res0, 4490, 313.69, 120.07
res0, 4500, 309.99, 117.41
res0, 4510, 310.79, 113.20
res0, 4520, 300.89, 124.06
res0, 4530, 310.79, 121.63
res0, 4540, 311.32, 119.29
res0, 4550, 313.22, 115.39
res0, 4560, 315.59, 115.08
res0, 4570, 311.39, 118.65
res0, 4580, 301.89, 122.14
res0, 4590, 314.19, 115.98
res0, 4600, 312.49, 117.48
res0, 4610, 311.19, 113.44
res0, 4620, 309.79, 120.25
res0, 4630, 314.52, 114.60
res0, 4640, 311.79, 113.91
res0, 4650, 309.92, 114.49
res0, 4660, 314.99, 113.37
res0, 4670, 307.59, 116.92
res0, 4680, 313.39, 116.19
res0, 4690, 284.39, 175.24
res0, 4700, 314.19, 112.09
res0, 4710, 310.02, 117.55
res0, 4720, 312.69, 111.15
res0, 4730, 302.39, 122.58
res0, 4740, 311.49, 114.01
res0, 4750, 308.79, 120.40
res0, 4760, 309.69, 116.08
res0, 4770, 306.52, 117.73
res0, 4780, 311.19, 117.94
res0, 4790, 310.92, 117.41
res0, 4800, 307.39, 118.68
res0, 4810, 310.89, 118.43
res0, 4820, 306.99, 119.79
res0, 4830, 309.89, 115.66
res0, 4840, 304.89, 122.73
res0, 4850, 310.99, 120.11
res0, 4860, 300.29, 119.57
res0, 4870, 315.92, 110.29
res0, 4880, 300.92, 118.86
res0, 4890, 312.59, 114.39
res0, 4900, 304.49, 122.03
res0, 4910, 310.99, 114.94
res0, 4920, 314.59, 113.27
res0, 4930, 304.29, 121.45
res0, 4940, 312.22, 117.44
res0, 4950, 307.29, 120.65
res0, 4960, 311.69, 119.36
res0, 4970, 310.49, 114.56
res0, 4980, 307.59, 116.64
res0, 4990, 295.99, 184.17
res0, 5000, 310.32, 117.37
res0, 5010, 308.99, 118.47
res0, 5020, 317.23, 116.15
res0, 5030, 307.29, 119.39
res0, 5040, 310.99, 113.95
res0, 5050, 312.29, 114.22
res0, 5060, 312.29, 113.81
res0, 5070, 315.09, 116.01
res0, 5080, 306.09, 116.12
res0, 5090, 314.29, 116.32
res0, 5100, 307.22, 115.98
res0, 5110, 309.62, 119.36
res0, 5120, 303.39, 121.09
res0, 5130, 313.69, 116.88
res0, 5140, 306.09, 119.07
res0, 5150, 319.09, 113.95
res0, 5160, 308.59, 111.92
res0, 5170, 302.19, 116.64
res0, 5180, 308.12, 123.72
res0, 5190, 307.89, 114.08
res0, 5200, 310.29, 113.54
res0, 5210, 311.69, 116.53
res0, 5220, 316.49, 114.08
res0, 5230, 309.22, 117.30
res0, 5240, 315.19, 111.58
res0, 5250, 309.09, 117.73
res0, 5260, 312.12, 116.12
res0, 5270, 305.29, 117.37
res0, 5280, 312.19, 110.12
res0, 5290, 288.29, 191.54
res0, 5300, 311.99, 112.35
res0, 5310, 313.39, 113.03
res0, 5320, 312.19, 117.73
res0, 5330, 315.99, 118.79
res0, 5340, 311.46, 119.43
res0, 5350, 315.89, 112.66
res0, 5360, 307.19, 113.50
res0, 5370, 312.09, 116.64
res0, 5380, 306.39, 116.22
res0, 5390, 318.79, 110.95
res0, 5400, 298.69, 120.22
res0, 5410, 311.59, 111.82
res0, 5420, 310.92, 113.16
res0, 5430, 312.79, 114.19
res0, 5440, 306.49, 122.32
res0, 5450, 310.49, 114.29
res0, 5460, 305.62, 118.79
res0, 5470, 306.89, 113.23
res0, 5480, 308.59, 112.93
res0, 5490, 306.32, 115.11
res0, 5500, 310.39, 118.61
res0, 5510, 306.69, 116.78
res0, 5520, 315.29, 115.84
res0, 5530, 306.69, 122.32
res0, 5540, 310.19, 111.72
res0, 5550, 303.99, 121.56
res0, 5560, 316.09, 115.08
res0, 5570, 308.15, 117.37
res0, 5580, 313.59, 115.84
res0, 5590, 292.99, 176.56
res0, 5600, 309.09, 116.57
res0, 5610, 312.09, 115.46
res0, 5620, 307.79, 119.50
res0, 5630, 308.09, 116.43
res0, 5640, 306.29, 117.80
res0, 5650, 308.92, 115.94
res0, 5660, 306.99, 115.04
res0, 5670, 313.39, 112.89
res0, 5680, 303.79, 120.04
res0, 5690, 314.72, 110.45
res0, 5700, 310.09, 119.00
res0, 5710, 311.39, 113.30
res0, 5720, 312.49, 120.47
res0, 5730, 307.92, 114.87
res0, 5740, 310.79, 117.66
res0, 5750, 310.99, 113.20
res0, 5760, 306.59, 119.93
res0, 5770, 311.89, 117.20
res0, 5780, 306.89, 113.16
res0, 5790, 308.79, 114.46
res0, 5800, 312.32, 115.87
res0, 5810, 303.52, 117.27
res0, 5820, 313.49, 114.63
res0, 5830, 307.29, 122.14
res0, 5840, 312.89, 113.44
res0, 5850, 306.29, 120.72
res0, 5860, 312.69, 115.15
res0, 5870, 309.39, 116.12
res0, 5880, 308.99, 119.00
res0, 5890, 310.22, 113.95
res0, 5900, 299.29, 178.37
res0, 5910, 315.09, 115.15
res0, 5920, 306.92, 116.64
res0, 5930, 314.69, 116.36
res0, 5940, 305.79, 118.15
res0, 5950, 311.39, 117.76
res0, 5960, 304.79, 118.36
res0, 5970, 314.22, 116.88
res0, 5980, 308.69, 118.18
res0, 5990, 315.99, 116.71
res0, 6000, 303.29, 119.07
res0, 6010, 310.69, 117.20
res0, 6020, 306.89, 119.21
res0, 6030, 308.52, 111.62
res0, 6040, 311.49, 116.36
res0, 6050, 306.82, 119.21
res0, 6060, 309.09, 117.97
res0, 6070, 307.59, 117.69
res0, 6080, 309.79, 115.39
res0, 6090, 305.99, 115.73
res0, 6100, 315.89, 111.95
res0, 6110, 309.99, 115.15
res0, 6120, 313.59, 113.74
res0, 6130, 307.42, 122.25
res0, 6140, 314.39, 112.15
res0, 6150, 306.92, 117.34
res0, 6160, 310.19, 112.96
res0, 6170, 307.09, 122.87
res0, 6180, 308.99, 114.80
res0, 6190, 310.19, 117.97
res0, 6200, 295.42, 178.15
res0, 6210, 315.09, 110.98
res0, 6220, 294.89, 131.79
res0, 6230, 309.79, 114.49
res0, 6240, 305.69, 118.47
res0, 6250, 312.79, 116.32
res0, 6260, 304.12, 118.68
res0, 6270, 306.89, 114.77
res0, 6280, 308.42, 116.19
res0, 6290, 314.39, 111.55
res0, 6300, 309.69, 113.37
res0, 6310, 311.29, 111.38
res0, 6320, 312.19, 116.99
res0, 6330, 306.39, 115.63
res0, 6340, 310.49, 119.61
res0, 6350, 310.69, 115.87
res0, 6360, 313.92, 117.27
res0, 6370, 303.59, 118.22
res0, 6380, 312.02, 118.11
res0, 6390, 306.49, 121.67
res0, 6400, 315.29, 114.36
res0, 6410, 303.89, 117.48
res0, 6420, 313.59, 117.30
res0, 6430, 306.09, 119.04
res0, 6440, 308.42, 116.85
res0, 6450, 313.79, 112.89
res0, 6460, 305.39, 116.32
res0, 6470, 310.59, 116.50
res0, 6480, 308.09, 115.53
res0, 6490, 309.62, 116.12
res0, 6500, 290.39, 199.20
res0, 6510, 310.59, 111.35
res0, 6520, 301.82, 120.69
res0, 6530, 314.19, 113.67
res0, 6540, 300.09, 118.82
res0, 6550, 316.69, 114.22
res0, 6560, 306.29, 119.29
res0, 6570, 309.99, 113.61
res0, 6580, 308.59, 117.09
res0, 6590, 304.59, 124.06
res0, 6600, 314.32, 114.56
res0, 6610, 309.92, 117.55
res0, 6620, 316.69, 113.74
res0, 6630, 308.99, 116.71
res0, 6640, 310.89, 110.98
res0, 6650, 308.69, 116.39
res0, 6660, 314.99, 113.71
res0, 6670, 305.19, 118.97
res0, 6680, 312.62, 113.91
res0, 6690, 304.39, 123.21
res0, 6700, 315.89, 117.09
res0, 6710, 303.49, 121.01
res0, 6720, 313.52, 116.12
res0, 6730, 307.89, 114.22
res0, 6740, 311.09, 115.73
res0, 6750, 306.72, 120.22
res0, 6760, 310.59, 115.91
res0, 6770, 312.99, 116.78
res0, 6780, 302.29, 118.61
res0, 6790, 314.39, 118.40
res0, 6800, 291.19, 183.62
res0, 6810, 314.29, 118.75
res0, 6820, 309.79, 114.73
res0, 6830, 311.32, 115.56
res0, 6840, 309.52, 115.11
res0, 6850, 308.49, 119.25
res0, 6860, 311.49, 113.06
res0, 6870, 307.59, 116.64
res0, 6880, 310.19, 117.48
res0, 6890, 311.59, 117.83
res0, 6900, 314.19, 114.19
res0, 6910, 309.32, 119.50
res0, 6920, 303.89, 119.93
res0, 6930, 311.89, 117.80
res0, 6940, 310.99, 110.19
res0, 6950, 312.22, 120.22
res0, 6960, 318.69, 113.57
res0, 6970, 306.39, 119.29
res0, 6980, 312.79, 117.30
res0, 6990, 311.02, 115.98
res0, 7000, 309.79, 117.20
res0, 7010, 309.49, 116.67
res0, 7020, 314.49, 114.22
res0, 7030, 309.49, 117.83
res0, 7040, 306.89, 114.15
res0, 7050, 308.79, 118.68
res0, 7060, 303.49, 113.98
res0, 7070, 314.16, 115.80
res0, 7080, 305.49, 118.97
res0, 7090, 310.09, 120.47
res0, 7100, 293.59, 167.45
res0, 7110, 310.19, 118.68
res0, 7120, 305.79, 120.07
res0, 7130, 313.99, 117.80
res0, 7140, 303.69, 122.36
res0, 7150, 304.62, 115.70
res0, 7160, 311.20, 115.28
res0, 7170, 304.09, 118.11
res0, 7180, 314.69, 115.25
res0, 7190, 305.72, 118.61
res0, 7200, 316.49, 110.45
res1, 10, 276.07, 102.61
res1, 20, 1075.21, 33.43
res1, 30, 1141.30, 32.04
res1, 40, 1127.41, 34.57
res1, 50, 1141.76, 34.55
res1, 60, 1159.85, 34.35
res1, 70, 773.87, 78.36
res1, 80, 703.25, 75.18
res1, 90, 760.82, 76.64
res1, 100, 793.50, 79.25
res1, 110, 807.26, 76.50
res1, 120, 757.80, 85.33
res1, 130, 738.23, 79.04
res1, 140, 734.63, 86.10
res1, 150, 779.95, 75.25
res1, 160, 868.70, 71.58
res1, 170, 766.96, 77.84
res1, 180, 707.70, 92.35
res1, 190, 753.22, 75.03
res1, 200, 766.72, 74.85
res1, 210, 777.12, 83.31
res1, 220, 781.95, 75.25
res1, 230, 757.95, 75.12
res1, 240, 719.29, 87.30
res1, 250, 734.14, 88.32
res1, 260, 759.71, 86.85
res1, 270, 703.82, 90.82
res1, 280, 751.51, 77.82
res1, 290, 716.97, 90.30
res1, 300, 691.81, 104.63
res1, 310, 662.93, 116.53
res1, 320, 716.61, 82.84
res1, 330, 722.42, 88.96
res1, 340, 742.22, 80.52
res1, 350, 738.44, 82.57
res1, 360, 712.23, 96.13
res1, 370, 686.85, 93.16
res1, 380, 718.16, 85.10
res1, 390, 725.35, 86.91
res1, 400, 737.66, 83.89
res1, 410, 746.92, 80.42
res1, 420, 633.95, 99.53
res1, 430, 701.12, 93.94
res1, 440, 705.35, 99.94
res1, 450, 709.88, 88.03
res1, 460, 693.53, 92.96
res1, 470, 702.24, 90.44
res1, 480, 717.22, 83.14
res1, 490, 677.81, 95.84
res1, 500, 735.77, 81.76
res1, 510, 724.69, 89.98
res1, 520, 717.43, 81.54
res1, 530, 712.13, 85.56
res1, 540, 727.95, 84.98
res1, 550, 695.02, 89.52
res1, 560, 709.02, 97.35
res1, 570, 715.75, 95.19
res1, 580, 708.89, 90.00
res1, 590, 680.15, 92.57
res1, 600, 701.22, 86.98
res1, 610, 664.05, 93.74
res1, 620, 719.32, 82.47
res1, 630, 695.15, 89.84
res1, 640, 685.63, 97.99
res1, 650, 712.78, 85.90
res1, 660, 717.45, 81.08
res1, 670, 690.31, 82.10
res1, 680, 701.18, 83.36
res1, 690, 684.79, 92.13
res1, 700, 719.60, 81.66
res1, 710, 585.34, 111.92
res1, 720, 641.12, 92.74
res1, 730, 720.34, 81.17
res1, 740, 739.13, 84.34
res1, 750, 732.74, 90.84
res1, 760, 729.52, 79.47
res1, 770, 709.69, 86.15
res1, 780, 671.55, 97.81
res1, 790, 699.32, 85.21
res1, 800, 717.42, 81.66
res1, 810, 701.75, 89.28
res1, 820, 731.42, 78.07
res1, 830, 708.25, 84.04
res1, 840, 699.10, 95.38
res1, 850, 672.86, 98.84
res1, 860, 718.27, 77.75
res1, 870, 714.54, 78.71
res1, 880, 641.35, 113.00
res1, 890, 730.69, 85.61
res1, 900, 707.57, 91.83
res1, 910, 657.58, 118.47
res1, 920, 743.62, 84.47
res1, 930, 746.65, 82.37
res1, 940, 721.52, 87.93
res1, 950, 735.95, 89.39
res1, 960, 762.12, 94.00
res1, 970, 705.28, 104.04
res1, 980, 726.54, 92.79
res1, 990, 740.19, 83.79
res1, 1000, 731.21, 83.14
res1, 1010, 765.10, 81.49
res1, 1020, 738.12, 85.23
res1, 1030, 727.92, 89.60
res1, 1040, 709.92, 91.99
res1, 1050, 762.83, 83.44
res1, 1060, 772.64, 82.05
res1, 1070, 741.45, 80.45
res1, 1080, 742.24, 81.66
res1, 1090, 695.39, 98.22
res1, 1100, 719.42, 83.74
res1, 1110, 724.22, 83.56
res1, 1120, 717.74, 87.93
res1, 1130, 751.02, 79.37
